"","name","date","hits","geo"
"173","bernie sanders",2019-04-28,18,"US-PA"
"174","bernie sanders",2019-05-05,13,"US-PA"
"175","bernie sanders",2019-05-12,11,"US-PA"
"176","bernie sanders",2019-05-19,12,"US-PA"
"177","bernie sanders",2019-05-26,10,"US-PA"
"178","bernie sanders",2019-06-02,9,"US-PA"
"179","bernie sanders",2019-06-09,12,"US-PA"
"180","bernie sanders",2019-06-16,10,"US-PA"
"181","bernie sanders",2019-06-23,40,"US-PA"
"182","bernie sanders",2019-06-30,15,"US-PA"
"183","bernie sanders",2019-07-07,10,"US-PA"
"184","bernie sanders",2019-07-14,15,"US-PA"
"185","bernie sanders",2019-07-21,15,"US-PA"
"186","bernie sanders",2019-07-28,31,"US-PA"
"187","bernie sanders",2019-08-04,18,"US-PA"
"188","bernie sanders",2019-08-11,17,"US-PA"
"189","bernie sanders",2019-08-18,17,"US-PA"
"190","bernie sanders",2019-08-25,15,"US-PA"
"191","bernie sanders",2019-09-01,15,"US-PA"
"192","bernie sanders",2019-09-08,23,"US-PA"
"193","bernie sanders",2019-09-15,17,"US-PA"
"194","bernie sanders",2019-09-22,14,"US-PA"
"195","bernie sanders",2019-09-29,69,"US-PA"
"196","bernie sanders",2019-10-06,31,"US-PA"
"197","bernie sanders",2019-10-13,22,"US-PA"
"198","bernie sanders",2019-10-20,21,"US-PA"
"199","bernie sanders",2019-10-27,17,"US-PA"
"200","bernie sanders",2019-11-03,17,"US-PA"
"201","bernie sanders",2019-02-03,11,"US-IA"
"202","bernie sanders",2019-02-10,6,"US-IA"
"203","bernie sanders",2019-02-17,80,"US-IA"
"204","bernie sanders",2019-02-24,30,"US-IA"
"205","bernie sanders",2019-03-03,59,"US-IA"
"206","bernie sanders",2019-03-10,28,"US-IA"
"207","bernie sanders",2019-03-17,16,"US-IA"
"208","bernie sanders",2019-03-24,13,"US-IA"
"209","bernie sanders",2019-03-31,26,"US-IA"
"210","bernie sanders",2019-04-07,30,"US-IA"
"211","bernie sanders",2019-04-14,31,"US-IA"
"212","bernie sanders",2019-04-21,30,"US-IA"
"213","bernie sanders",2019-04-28,24,"US-IA"
"214","bernie sanders",2019-05-05,24,"US-IA"
"215","bernie sanders",2019-05-12,10,"US-IA"
"216","bernie sanders",2019-05-19,18,"US-IA"
"217","bernie sanders",2019-05-26,6,"US-IA"
"218","bernie sanders",2019-06-02,15,"US-IA"
"219","bernie sanders",2019-06-09,18,"US-IA"
"220","bernie sanders",2019-06-16,11,"US-IA"
"221","bernie sanders",2019-06-23,31,"US-IA"
"222","bernie sanders",2019-06-30,36,"US-IA"
"223","bernie sanders",2019-07-07,12,"US-IA"
"224","bernie sanders",2019-07-14,19,"US-IA"
"225","bernie sanders",2019-07-21,16,"US-IA"
"226","bernie sanders",2019-07-28,33,"US-IA"
"227","bernie sanders",2019-08-04,23,"US-IA"
"228","bernie sanders",2019-08-11,22,"US-IA"
"229","bernie sanders",2019-08-18,21,"US-IA"
"230","bernie sanders",2019-08-25,16,"US-IA"
"231","bernie sanders",2019-09-01,28,"US-IA"
"232","bernie sanders",2019-09-08,36,"US-IA"
"233","bernie sanders",2019-09-15,19,"US-IA"
"234","bernie sanders",2019-09-22,29,"US-IA"
"235","bernie sanders",2019-09-29,75,"US-IA"
"236","bernie sanders",2019-10-06,45,"US-IA"
"237","bernie sanders",2019-10-13,31,"US-IA"
"238","bernie sanders",2019-10-20,38,"US-IA"
"239","bernie sanders",2019-10-27,33,"US-IA"
"240","bernie sanders",2019-11-03,33,"US-IA"
"241","cory booker",2019-02-03,72,"US-PA"
"242","cory booker",2019-02-10,39,"US-PA"
"243","cory booker",2019-02-17,27,"US-PA"
